time,PM1(ug/m3),PM10(ug/m3),PM2.5(ug/m3),RH(%),T(C)
2020-02-24 15:18:09.579000060,21.423,186.023,71.68,32.4,19.9
2020-02-24 15:19:03.987000060,14.025,45.422,38.629,31.8,19.9
2020-02-24 15:19:05.379000060,15.954,75.238,59.835,31.7,19.9
2020-02-24 15:19:06.767000060,13.786,56.788,46.305,31.6,19.9
2020-02-24 15:19:08.156000000,14.741,54.749,47.068000000000005,31.5,19.9
2020-02-24 15:20:02.588000000,20.442,81.205,66.76100000000001,32.2,19.9
2020-02-24 15:20:03.977999870,17.808,67.91,57.125,32.1,19.9
2020-02-24 15:20:05.369999870,15.184,101.202,60.371,32.1,19.9
2020-02-24 15:20:06.761999870,16.910999999999998,69.134,59.266000000000005,32.0,19.9
2020-02-24 15:21:06.744999940,20.418,84.41799999999999,67.818,32.1,19.9
2020-02-24 15:21:08.136999940,19.239,71.247,59.733,32.0,19.9
2020-02-24 15:21:09.528999940,20.16,112.233,76.317,32.1,20.0
2020-02-24 15:21:10.918000130,17.666,93.073,68.434,32.0,20.0
2020-02-24 15:22:05.339000060,19.13,75.095,62.342,31.8,20.0
2020-02-24 15:22:06.731000060,19.308,80.07600000000001,65.32600000000001,31.9,20.0
2020-02-24 15:22:08.120000000,17.637999999999998,106.522,66.863,31.8,20.0
2020-02-24 15:22:09.512000000,17.757,85.444,63.381,31.9,20.0
2020-02-24 15:23:03.936999940,18.962,74.467,59.839,32.1,20.0
2020-02-24 15:23:05.326000130,17.305,70.601,57.229,32.0,20.0
2020-02-24 15:23:06.718000130,21.197,103.243,79.816,32.0,20.0
2020-02-24 15:23:08.111000060,22.842,108.731,85.025,32.0,20.0
2020-02-24 15:24:02.535000060,21.502,72.544,62.857,32.0,20.0
2020-02-24 15:24:03.928000000,20.522,86.823,71.57600000000001,32.0,20.0
2020-02-24 15:24:05.320999940,21.013,106.464,79.637,32.0,20.0
2020-02-24 15:24:06.710000130,19.681,65.766,54.36600000000001,32.0,20.0
2020-02-24 15:25:06.696000000,22.583,106.714,76.818,31.7,20.0
2020-02-24 15:25:08.084999940,22.457,95.47,77.36,31.7,20.0
2020-02-24 15:25:09.478000130,24.008000000000003,106.27,79.005,31.7,20.1
2020-02-24 15:25:10.865999870,24.63,83.425,71.893,31.7,20.0
2020-02-24 15:26:05.291000060,21.038,78.917,64.679,32.0,20.0
2020-02-24 15:26:06.679000060,21.999,69.845,59.761,31.9,20.1
2020-02-24 15:26:08.071000060,22.763,127.795,72.45100000000001,31.9,20.1
2020-02-24 15:26:09.464000000,23.159,144.759,81.458,31.8,20.1
2020-02-24 15:27:03.884999940,21.245,95.465,74.82300000000001,31.9,20.1
2020-02-24 15:27:05.278000130,22.013,88.135,75.029,31.9,20.1
2020-02-24 15:27:06.667000060,21.279,81.64399999999999,69.143,31.8,20.1
2020-02-24 15:27:08.059000060,21.219,69.12100000000001,58.375,31.8,20.1
2020-02-24 15:28:02.480000000,18.285,68.57600000000001,57.227,32.0,20.1
2020-02-24 15:28:03.872999940,19.067,67.60600000000001,57.211000000000006,31.9,20.1
2020-02-24 15:28:05.260999940,22.759,95.613,80.242,31.8,20.1
2020-02-24 15:28:06.648999940,16.713,62.258,52.435,31.8,20.1
2020-02-24 15:29:06.640999940,21.149,83.40299999999999,68.021,31.5,20.1
2020-02-24 15:29:08.030000130,19.023,64.75399999999999,55.214,31.5,20.1
2020-02-24 15:29:09.422000130,19.649,92.062,71.506,31.5,20.1
2020-02-24 15:29:10.811000060,20.118,81.197,65.848,31.5,20.1
2020-02-24 15:30:05.239000060,18.671,85.48100000000001,67.406,31.7,20.1
2020-02-24 15:30:06.632000000,22.856,106.682,85.934,31.7,20.2
2020-02-24 15:30:08.024000000,21.905,87.68,72.968,31.6,20.1
2020-02-24 15:30:09.417999870,21.814,113.0,80.556,31.6,20.1
2020-02-24 15:31:03.833999870,20.636,90.422,70.94,31.7,20.2
2020-02-24 15:31:05.223000060,20.229,89.441,60.377,31.7,20.2
2020-02-24 15:31:06.615000060,20.724,90.653,69.77600000000001,31.6,20.1
2020-02-24 15:31:08.004000000,19.548,85.992,62.956,31.6,20.2
2020-02-24 15:32:02.424999940,21.003,84.37200000000001,71.075,31.7,20.2
2020-02-24 15:32:03.817999870,20.352,74.707,64.079,31.6,20.2
2020-02-24 15:32:05.209999870,19.705,81.848,68.765,31.6,20.2
2020-02-24 15:32:06.599000060,20.656,94.093,73.38600000000001,31.5,20.1
2020-02-24 15:33:06.585999870,21.295,89.99700000000001,72.42,31.5,20.2
2020-02-24 15:33:07.975000060,21.73,83.911,67.98100000000001,31.5,20.2
2020-02-24 15:33:09.367000060,19.976,99.682,73.73100000000001,31.5,20.2
2020-02-24 15:33:10.760000000,20.529,90.937,70.873,31.4,20.2
2020-02-24 15:34:05.180999940,22.465,88.99799999999999,72.433,31.6,20.2
2020-02-24 15:34:06.572999940,24.684,93.2,79.06,31.6,20.2
2020-02-24 15:34:07.966000130,22.022,102.179,78.714,31.6,20.2
2020-02-24 15:34:09.363000060,22.431,100.644,79.08800000000001,31.6,20.2
2020-02-24 15:35:03.784000000,25.288,116.584,87.96700000000001,31.6,20.2
2020-02-24 15:35:05.176999940,21.583,75.655,64.192,31.6,20.2
2020-02-24 15:35:06.564999940,22.191,88.355,73.263,31.5,20.2
2020-02-24 15:35:07.958000130,25.023000000000003,108.584,86.421,31.5,20.2
2020-02-24 15:36:02.371000060,24.932,121.278,94.452,31.6,20.2
2020-02-24 15:36:03.763000060,20.507,139.588,63.801,31.6,20.2
2020-02-24 15:36:05.156000000,23.168000000000003,90.987,75.459,31.5,20.2
2020-02-24 15:36:06.548000000,21.525,109.172,70.09100000000001,31.5,20.2
2020-02-24 15:37:06.540000000,21.965,92.267,69.499,31.5,20.2
2020-02-24 15:37:07.928999940,19.075,66.891,55.45399999999999,31.5,20.2
2020-02-24 15:37:09.320999940,20.577,81.98700000000001,67.788,31.5,20.2
2020-02-24 15:37:10.712999940,21.61,92.62,74.097,31.4,20.3
2020-02-24 15:38:05.135000060,26.065,111.229,90.555,31.5,20.2
2020-02-24 15:38:06.527000060,25.636,100.96,84.803,31.5,20.2
2020-02-24 15:38:07.920000000,24.44,87.26100000000001,73.449,31.4,20.2
2020-02-24 15:38:09.312999940,20.165,66.988,54.401,31.4,20.2
2020-02-24 15:39:03.726000130,24.273000000000003,132.969,87.118,31.5,20.3
2020-02-24 15:39:05.119000060,22.305,92.658,75.691,31.5,20.2
2020-02-24 15:39:06.511000060,22.824,99.755,82.64,31.4,20.2
2020-02-24 15:39:07.903000060,21.917,115.506,76.683,31.5,20.2
2020-02-24 15:40:02.320999940,20.495,93.587,64.181,31.5,20.2
2020-02-24 15:40:03.713999870,21.505,91.377,70.336,31.4,20.2
